127.0.0.1 - - [06/Nov/2015:12:32:32 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:32:32 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:32 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:32:40 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:32:47 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:32:52 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16030
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:32:53 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16029
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:33:22 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:33:30 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:33:31 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
